Episode: 3, Step: 1, State: (1, 1, 1, 0), Action: back, Reward: -4
Episode: 3, Step: 2, State: (1, 1, 1, 0), Action: back, Reward: 10
Episode: 7, Step: 1, State: (1, 1, 0, 0), Action: back, Reward: -5
Episode: 7, Step: 2, State: (1, 0, 1, 3), Action: left, Reward: -6
Episode: 7, Step: 3, State: (1, 1, 1, 0), Action: right, Reward: 10
Episode: 11, Step: 1, State: (0, 1, 1, 0), Action: back, Reward: -4
Episode: 11, Step: 2, State: (1, 1, 1, 3), Action: back, Reward: -10
Episode: 11, Step: 3, State: (0, 1, 1, 2), Action: right, Reward: -10
Episode: 11, Step: 4, State: (0, 0, 0, 3), Action: back, Reward: -4
Episode: 11, Step: 5, State: (1, 1, 1, 2), Action: left, Reward: -10
Episode: 11, Step: 6, State: (0, 1, 1, 0), Action: right, Reward: -10
Episode: 11, Step: 7, State: (0, 1, 1, 1), Action: back, Reward: -10
Episode: 11, Step: 8, State: (0, 1, 1, 3), Action: left, Reward: -10
Episode: 11, Step: 9, State: (0, 1, 0, 2), Action: back, Reward: -10
Episode: 11, Step: 10, State: (0, 1, 1, 2), Action: right, Reward: -10
Episode: 11, Step: 11, State: (0, 0, 0, 1), Action: right, Reward: -10
Episode: 11, Step: 12, State: (0, 1, 1, 0), Action: back, Reward: 10
Episode: 15, Step: 1, State: (0, 0, 1, 0), Action: left, Reward: -4
Episode: 15, Step: 2, State: (1, 0, 1, 3), Action: left, Reward: -10
Episode: 15, Step: 3, State: (0, 1, 1, 2), Action: right, Reward: 10
Episode: 18, Step: 1, State: (0, 0, 1, 0), Action: left, Reward: -5
Episode: 18, Step: 2, State: (1, 0, 0, 0), Action: left, Reward: -10
Episode: 18, Step: 3, State: (0, 0, 0, 1), Action: back, Reward: -10
Episode: 18, Step: 4, State: (0, 0, 0, 2), Action: right, Reward: -4
Episode: 18, Step: 5, State: (1, 1, 1, 1), Action: left, Reward: 10
